marker_value,spacy_count,stanza_count,total_count,candidate_rank,lexicon_term_candidate,lexicon_category,match_type,score,levenshtein_distance_norm_noaccent,sequence_ratio_norm_noaccent
jour,4,4,8,2,amour,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
malaise,4,4,8,1,mal-aimé,ressentiment,fuzzy_levenshtein_or_sequence,0.8,2,0.8
malaise,4,4,8,2,apaisé,apaisement,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
mieux,4,4,8,1,piteux,mepris,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
mieux,4,4,8,2,odieux,degout,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
mieux,4,4,8,3,rieur,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
mordre,4,4,8,1,morne,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
mordre,4,4,8,2,morose,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
parce,4,4,8,1,pâle,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
part,4,4,8,1,pâlot,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
parti,4,4,8,1,hardi,audace,fuzzy_levenshtein_or_sequence,0.6,2,0.6
pendant,4,4,8,1,tentant,desir,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
surprenante,4,4,8,1,surprenant,surprise,lexicon_prefix_of_marker,0.9091,1,0.9524
tendue,4,4,8,1,tendu,deplaisir,lexicon_prefix_of_marker,0.8333,1,0.9091
tendue,4,4,8,2,tendre,amour,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
voter,4,4,8,1,vexer,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
émerveillée,4,4,8,1,émerveillé,admiration,lexicon_prefix_of_marker,0.9091,1,0.9524
émerveillée,4,4,8,2,émerveiller,admiration,fuzzy_levenshtein_or_sequence,0.9091,1,0.9091
émerveillée,4,4,8,3,émerveillement,admiration,fuzzy_levenshtein_or_sequence,0.88,3,0.88
émerveillée,4,4,8,4,merveille,joie,lexicon_substring_of_marker,0.8182,2,0.9
croire,4,3,7,1,rire,joie,fuzzy_levenshtein_or_sequence,0.8,2,0.8
croire,4,3,7,2,gloire,admiration,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
embêtée,2,5,7,1,embêter,deplaisir,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
gêner,5,2,7,1,tenter,desir,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
gêner,5,2,7,2,peiner,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
gêner,5,2,7,3,vexer,embarras,fuzzy_levenshtein_or_sequence,0.6,2,0.6
gêner,5,2,7,4,gémir,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
gêné,3,4,7,1,peine,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
inquiétante,5,2,7,1,inquiétant,peur,lexicon_prefix_of_marker,0.9091,1,0.9524
inquiétante,5,2,7,2,inquiet,peur,lexicon_prefix_of_marker,0.6364,4,0.7778
inquiétante,5,2,7,3,quiet,apaisement,lexicon_substring_of_marker,0.4545,6,0.625
lassée,3,4,7,1,lasser,comportement,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
risquer,4,3,7,1,bisquer,colere,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
risquer,4,3,7,2,bisque,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
terrorisé,3,4,7,1,terroriser,peur,marker_prefix_of_lexicon_term,0.9,1,0.9474
affolée,2,4,6,1,affoler,peur,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
affolée,2,4,6,2,affolé,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
affolée,2,4,6,3,raffoler,amour,fuzzy_levenshtein_or_sequence,0.8,2,0.8
affreuse,2,4,6,1,affres,peur,fuzzy_levenshtein_or_sequence,0.8571,2,0.8571
affreuse,2,4,6,2,affreux,peur,fuzzy_levenshtein_or_sequence,0.8,2,0.8
affreuse,2,4,6,3,affreusement,peur,marker_prefix_of_lexicon_term,0.6667,4,0.8
alarmante,2,4,6,1,alarmant,peur,lexicon_prefix_of_marker,0.8889,1,0.9412
alarmante,2,4,6,2,alarmiste,peur,fuzzy_levenshtein_or_sequence,0.7778,2,0.7778
amusé,2,4,6,1,amuser,joie,marker_prefix_of_lexicon_term,0.8333,1,0.9091
amusé,2,4,6,2,amusement,joie,marker_prefix_of_lexicon_term,0.5556,4,0.7143
artiste,3,3,6,1,triste,tristesse,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
dieu,3,3,6,1,odieux,degout,fuzzy_levenshtein_or_sequence,0.8,2,0.8
dieu,3,3,6,2,rieur,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
embêté,2,4,6,1,embêter,deplaisir,marker_prefix_of_lexicon_term,0.8571,1,0.9231
embêté,2,4,6,2,embêtement,deplaisir,marker_prefix_of_lexicon_term,0.6,4,0.75
engager,3,3,6,1,enrager,colere,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
engager,3,3,6,2,égayer,joie,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
engager,3,3,6,3,enragé,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
engager,3,3,6,4,engouer,amour,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
excitée,2,4,6,1,exciter,comportement,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
excitée,2,4,6,2,excité,comportement,lexicon_prefix_of_marker,0.8571,1,0.9231
fières,3,3,6,1,fierté,fierte,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
fières,3,3,6,2,fier,fierte,fuzzy_levenshtein_or_sequence,0.8,2,0.8
gênant,2,4,6,1,tentant,desir,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
gênant,2,4,6,2,vexant,embarras,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
humain,3,3,6,1,hautain,mepris,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
humain,3,3,6,2,inhumain,inhumanite,marker_substring_of_lexicon_term,0.75,2,0.8571
humain,3,3,6,3,inhumainement,inhumanite,marker_substring_of_lexicon_term,0.4615,7,0.6316
humiliante,2,4,6,1,humiliant,embarras,lexicon_prefix_of_marker,0.9,1,0.9474
immense,3,3,6,1,immonde,degout,fuzzy_levenshtein_or_sequence,0.7143,2,0.5714
inattendu,3,3,6,1,tendu,deplaisir,lexicon_substring_of_marker,0.5556,4,0.7143
inquiétantes,3,3,6,1,inquiétant,peur,lexicon_prefix_of_marker,0.8333,2,0.9091
inquiétantes,3,3,6,2,inquiet,peur,lexicon_prefix_of_marker,0.5833,5,0.7368
inquiétantes,3,3,6,3,quiet,apaisement,lexicon_substring_of_marker,0.4167,7,0.5882
jolie,4,2,6,1,joie,joie,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
jolie,4,2,6,2,jouir,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
liberté,3,3,6,1,fierté,fierte,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
marrantes,3,3,6,1,marrant,joie,lexicon_prefix_of_marker,0.7778,2,0.875
menacée,3,3,6,1,menacer,peur,fuzzy_levenshtein_or_sequence,0.8571,1,0.8571
menacée,3,3,6,2,menacé,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
menacée,3,3,6,3,menace,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
menaçait,3,3,6,1,menaçant,peur,fuzzy_levenshtein_or_sequence,0.875,1,0.875
mettre,3,3,6,1,neutre,impassibilite,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
montrer,2,4,6,1,monstre,peur,fuzzy_levenshtein_or_sequence,0.8571,2,0.8571
montrer,2,4,6,2,outrer,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
montrer,2,4,6,3,honorer,fierte,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
mécontentements,3,3,6,1,mécontentement,colere,lexicon_prefix_of_marker,0.9333,1,0.9655
mécontentements,3,3,6,2,contentement,joie,lexicon_substring_of_marker,0.8,3,0.8889
mécontentements,3,3,6,3,mécontent,colere,lexicon_prefix_of_marker,0.6,6,0.75
mécontentements,3,3,6,4,content,joie,lexicon_substring_of_marker,0.4667,8,0.6364
passer,3,3,6,1,lasser,comportement,fuzzy_levenshtein_or_sequence,0.8333,1,0.8333
passer,3,3,6,2,apaiser,apaisement,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
passer,3,3,6,3,pâmer,comportement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
passer,3,3,6,4,pester,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
passer,3,3,6,5,outrepasser,audace,marker_substring_of_lexicon_term,0.5455,5,0.7059
pleine,4,2,6,1,peine,tristesse,fuzzy_levenshtein_or_sequence,0.9091,1,0.9091
pleine,4,2,6,2,peiner,tristesse,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
pleine,4,2,6,3,plaire,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.5
premier,3,3,6,1,frémir,comportement,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
première,3,3,6,1,préféré,amour,fuzzy_levenshtein_or_sequence,0.8,2,0.8
problème,3,3,6,1,pas de problème,apaisement,marker_substring_of_lexicon_term,0.5333,7,0.6957
préoccupations,3,3,6,1,préoccupation,peur,lexicon_prefix_of_marker,0.9286,1,0.963
recevoir,3,3,6,1,décevoir,deplaisir,fuzzy_levenshtein_or_sequence,0.875,1,0.875
redoutent,2,4,6,1,redouter,peur,fuzzy_levenshtein_or_sequence,0.8235,2,0.8235
revit,4,2,6,1,ravi,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
revit,4,2,6,2,rebut,degout,fuzzy_levenshtein_or_sequence,0.6,2,0.6
revit,4,2,6,3,ravir,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
revit,4,2,6,4,dépit,deplaisir,fuzzy_levenshtein_or_sequence,0.6,2,0.6
scandalisé,2,4,6,1,scandaliser,colere,marker_prefix_of_lexicon_term,0.9091,1,0.9524
scandalisé,2,4,6,2,scandale,colere,fuzzy_levenshtein_or_sequence,0.8889,2,0.8889
senti,3,3,6,1,ressenti,non_specifiee,marker_substring_of_lexicon_term,0.625,3,0.7692
senti,3,3,6,2,sentiment,non_specifiee,marker_prefix_of_lexicon_term,0.5556,4,0.7143
senti,3,3,6,3,ressentir,non_specifiee,marker_substring_of_lexicon_term,0.5556,4,0.7143
senti,3,3,6,4,ressentie,non_specifiee,marker_substring_of_lexicon_term,0.5556,4,0.7143
senti,3,3,6,5,sentimental,amour,marker_prefix_of_lexicon_term,0.4545,6,0.625
sentir,3,3,6,1,tenter,desir,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
sentir,3,3,6,2,ressentir,non_specifiee,marker_substring_of_lexicon_term,0.6667,3,0.8
souffert,2,4,6,1,pouffer,joie,fuzzy_levenshtein_or_sequence,0.8,2,0.8
subit,4,2,6,1,suant,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
amus,5,0,5,1,amuser,joie,fuzzy_levenshtein_or_sequence,0.8,2,0.8
amus,5,0,5,2,amour,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
désolé,2,3,5,1,isolé,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
désolé,2,3,5,2,drôle,joie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
entrer,5,0,5,1,tenter,desir,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
entrer,5,0,5,2,vénérer,amour,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
entrer,5,0,5,3,enivrer,amour,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
entrer,5,0,5,4,énerver,colere,fuzzy_levenshtein_or_sequence,0.7143,2,0.6154
entrer,5,0,5,5,outrer,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
jalou,0,5,5,1,jaloux,jalousie,marker_prefix_of_lexicon_term,0.8333,1,0.9091
jalou,0,5,5,2,jalousie,jalousie,marker_prefix_of_lexicon_term,0.625,3,0.7692
jalou,0,5,5,3,jalouser,jalousie,marker_prefix_of_lexicon_term,0.625,3,0.7692
jalou,0,5,5,4,pâlot,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
jalou,0,5,5,5,jalousement,jalousie,marker_prefix_of_lexicon_term,0.4545,6,0.625
laisser,2,3,5,1,lasser,comportement,fuzzy_levenshtein_or_sequence,0.9231,1,0.9231
laisser,2,3,5,2,délaisser,tristesse,marker_substring_of_lexicon_term,0.7778,2,0.875
montre,3,2,5,1,monstre,peur,fuzzy_levenshtein_or_sequence,0.9231,1,0.9231
montre,3,2,5,2,outré,colere,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
montre,3,2,5,3,honte,embarras,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
montre,3,2,5,4,bonté,empathie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
partie,2,3,5,1,pitié,empathie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
partie,2,3,5,2,pitie,empathie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
élire,1,4,5,1,plaire,amour,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
élire,1,4,5,2,gloire,admiration,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
élire,1,4,5,3,délice,joie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
élire,1,4,5,4,rire,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
élire,1,4,5,5,flirt,amour,fuzzy_levenshtein_or_sequence,0.6,2,0.6
étonn,5,0,5,1,étonné,surprise,marker_prefix_of_lexicon_term,0.8333,1,0.9091
étonn,5,0,5,2,étonner,surprise,marker_prefix_of_lexicon_term,0.7143,2,0.8333
étonn,5,0,5,3,étonnant,surprise,marker_prefix_of_lexicon_term,0.625,3,0.7692
étonn,5,0,5,4,étonnement,surprise,marker_prefix_of_lexicon_term,0.5,5,0.6667
étonn,5,0,5,5,étonnamment,surprise,marker_prefix_of_lexicon_term,0.4545,6,0.625
abattus,2,2,4,1,abattu,tristesse,lexicon_prefix_of_marker,0.8571,1,0.9231
abattus,2,2,4,2,abattre,tristesse,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
aborder,2,2,4,1,abhorrer,ressentiment,fuzzy_levenshtein_or_sequence,0.8,2,0.8
aborder,2,2,4,2,bouder,colere,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
aborder,2,2,4,3,adorer,amour,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
accablés,2,2,4,1,accabler,tristesse,fuzzy_levenshtein_or_sequence,0.875,1,0.875
actuel,2,2,4,1,cruel,inhumanite,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
adultes,2,2,4,1,aduler,admiration,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
afin,2,2,4,1,câlin,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
afin,2,2,4,2,badin,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
agace,2,2,4,1,audace,audace,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
agace,2,2,4,2,agité,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
agacer,2,2,4,1,égayer,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
agacer,2,2,4,2,agiter,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
agaçant,2,2,4,1,égayant,joie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
agir,2,2,4,1,agiter,comportement,fuzzy_levenshtein_or_sequence,0.8,2,0.8
agir,2,2,4,2,ravir,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
agir,2,2,4,3,rager,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
agir,2,2,4,4,pâlir,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
agir,2,2,4,5,agité,comportement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
amusantes,2,2,4,1,amusant,joie,lexicon_prefix_of_marker,0.7778,2,0.875
angoisses,2,2,4,1,angoissé,peur,lexicon_prefix_of_marker,0.8889,1,0.9412
angoisses,2,2,4,2,angoisse,peur,lexicon_prefix_of_marker,0.8889,1,0.9412
angoisses,2,2,4,3,angoisser,peur,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
après,2,2,4,1,affres,peur,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
arbre,2,2,4,1,barbare,inhumanite,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
arbre,2,2,4,2,rire,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
arbre,2,2,4,3,adoré,amour,fuzzy_levenshtein_or_sequence,0.6,2,0.6
arme,2,2,4,1,charme,amour,fuzzy_levenshtein_or_sequence,0.8,2,0.8
arme,2,2,4,2,alarme,peur,fuzzy_levenshtein_or_sequence,0.8,2,0.8
arme,2,2,4,3,drame,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
arme,2,2,4,4,calme,apaisement,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
arme,2,2,4,5,aimer,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
arriver,2,2,4,1,irriter,deplaisir,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
autour,2,2,4,1,amour,amour,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
avril,2,2,4,1,péril,peur,fuzzy_levenshtein_or_sequence,0.6,2,0.6
baigner,2,2,4,1,badiner,joie,fuzzy_levenshtein_or_sequence,0.8571,2,0.8571
beauté,2,2,4,1,béat,joie,fuzzy_levenshtein_or_sequence,0.8,2,0.8
beauté,2,2,4,2,faute,culpabilite,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
boire,2,2,4,1,gloire,admiration,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
boire,2,2,4,2,rire,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
boire,2,2,4,3,joie,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
boire,2,2,4,4,bonté,empathie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
bégayer,2,2,4,1,égayer,joie,lexicon_substring_of_marker,0.8571,1,0.9231
bégayer,2,2,4,2,régaler,joie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
chien,2,2,4,1,crier,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
coeur,2,2,4,1,peur,peur,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
coeur,2,2,4,2,rancoeur,ressentiment,marker_substring_of_lexicon_term,0.625,3,0.7692
coeur,2,2,4,3,sueur,comportement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
coeur,2,2,4,4,rieur,joie,fuzzy_levenshtein_or_sequence,0.6,2,0.6
coeur,2,2,4,5,crève-coeur,tristesse,marker_substring_of_lexicon_term,0.4545,6,0.625
comment,2,2,4,1,content,joie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
comment,2,2,4,2,clément,empathie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
condition,2,2,4,1,contrition,culpabilite,fuzzy_levenshtein_or_sequence,0.8421,2,0.8421
consternée,2,2,4,1,consterner,tristesse,fuzzy_levenshtein_or_sequence,0.9,1,0.9
contentes,2,2,4,1,contenter,joie,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
contentes,2,2,4,2,content,joie,lexicon_prefix_of_marker,0.7778,2,0.875
contradiction,2,2,4,1,contrition,culpabilite,fuzzy_levenshtein_or_sequence,0.8696,3,0.8696
croiser,2,2,4,1,crier,comportement,fuzzy_levenshtein_or_sequence,0.8333,2,0.8333
croiser,2,2,4,2,érotiser,amour,fuzzy_levenshtein_or_sequence,0.8,2,0.8
dangers,2,2,4,1,danger,peur,lexicon_prefix_of_marker,0.8571,1,0.9231
desole,2,2,4,1,isolé,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
desole,2,2,4,2,drôle,joie,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
dessin,2,2,4,1,désir,desir,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
dessin,2,2,4,2,dédain,mepris,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
devant,2,2,4,1,décevant,deplaisir,fuzzy_levenshtein_or_sequence,0.8571,2,0.8571
devant,2,2,4,2,défiant,audace,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
devant,2,2,4,3,vexant,embarras,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
drôles,2,2,4,1,drôle,joie,lexicon_prefix_of_marker,0.8333,1,0.9091
dégoute,2,2,4,1,dégoûté,degout,fuzzy_levenshtein_or_sequence,1.0,0,1.0
dégoute,2,2,4,2,dégoûter,degout,marker_prefix_of_lexicon_term,0.875,1,0.9333
dégoute,2,2,4,3,dégoût,degout,lexicon_prefix_of_marker,0.8571,1,0.9231
déguster,2,2,4,1,dégoûter,degout,fuzzy_levenshtein_or_sequence,0.875,2,0.875
déguster,2,2,4,2,détester,ressentiment,fuzzy_levenshtein_or_sequence,0.75,2,0.75
dépressif,2,2,4,1,expressif,non_specifiee,fuzzy_levenshtein_or_sequence,0.8889,2,0.8889
dépressif,2,2,4,2,oppressif,deplaisir,fuzzy_levenshtein_or_sequence,0.7778,2,0.7778
désespérés,2,2,4,1,désespéré,tristesse,lexicon_prefix_of_marker,0.9,1,0.9474
désespérés,2,2,4,2,désespérer,tristesse,fuzzy_levenshtein_or_sequence,0.9,1,0.9
effrayée,2,2,4,1,effrayer,peur,fuzzy_levenshtein_or_sequence,0.875,1,0.875
effrayés,2,2,4,1,effrayer,peur,fuzzy_levenshtein_or_sequence,0.875,1,0.875
encourageant,2,2,4,1,décourageant,tristesse,fuzzy_levenshtein_or_sequence,0.9167,2,0.9167
encourageant,2,2,4,2,rageant,colere,lexicon_substring_of_marker,0.5833,5,0.7368
encourageant,2,2,4,3,courage,audace,lexicon_substring_of_marker,0.5833,5,0.7368
endeuillée,2,2,4,1,endeuiller,tristesse,fuzzy_levenshtein_or_sequence,0.9,1,0.9
endeuillée,2,2,4,2,deuil,tristesse,lexicon_substring_of_marker,0.5,5,0.6667
ennuis,2,2,4,1,ennui,tristesse,lexicon_prefix_of_marker,0.8333,1,0.9091
ennuis,2,2,4,2,ennuyé,tristesse,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
enthousiasmante,2,2,4,1,enthousiasmant,joie,lexicon_prefix_of_marker,0.9333,1,0.9655
enthousiasmante,2,2,4,2,enthousiaste,joie,fuzzy_levenshtein_or_sequence,0.8889,3,0.8889
enthousiasmante,2,2,4,3,enthousiasme,joie,fuzzy_levenshtein_or_sequence,0.8889,3,0.8889
exister,2,2,4,1,exciter,comportement,fuzzy_levenshtein_or_sequence,0.8571,2,0.8571
exister,2,2,4,2,exulter,joie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
exister,2,2,4,3,exalter,joie,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
extension,2,2,4,1,tension,deplaisir,lexicon_substring_of_marker,0.7778,2,0.875
faisant,2,2,4,1,plaisant,amour,fuzzy_levenshtein_or_sequence,0.8,2,0.8
faisant,2,2,4,2,lassant,comportement,fuzzy_levenshtein_or_sequence,0.7143,2,0.7143
faisant,2,2,4,3,bienfaisant,apaisement,marker_substring_of_lexicon_term,0.6364,4,0.7778
fiere,2,2,4,1,fierté,fierte,fuzzy_levenshtein_or_sequence,0.9091,1,0.9091
fiere,2,2,4,2,fier,fierte,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
fiere,2,2,4,3,piètre,mepris,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
fiere,2,2,4,4,misère,tristesse,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
fiere,2,2,4,5,rire,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
fiers,2,2,4,1,fier,fierte,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
fiers,2,2,4,2,fierté,fierte,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
forme,2,2,4,1,morne,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
forme,2,2,4,2,furie,colere,fuzzy_levenshtein_or_sequence,0.6,2,0.6
frein,2,2,4,1,serein,apaisement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
frein,2,2,4,2,frémir,comportement,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
fuir,2,2,4,1,jouir,joie,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
fuir,2,2,4,2,furie,colere,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
fuir,2,2,4,3,flirt,amour,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
féliciter,2,2,4,1,félicité,joie,lexicon_prefix_of_marker,0.8889,1,0.9412
gaie,2,2,4,1,gaîté,joie,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
gaie,2,2,4,2,gaieté,joie,fuzzy_levenshtein_or_sequence,0.8,2,0.8
gaie,2,2,4,3,haine,ressentiment,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
gaîment,2,2,4,1,gaiement,joie,fuzzy_levenshtein_or_sequence,0.9333,1,0.9333
gaîment,2,2,4,2,égaiement,joie,fuzzy_levenshtein_or_sequence,0.875,2,0.875
genre,2,2,4,1,tendre,amour,fuzzy_levenshtein_or_sequence,0.7273,2,0.7273
glace,2,2,4,1,lâche,peur,fuzzy_levenshtein_or_sequence,0.8,2,0.8
glace,2,2,4,2,blâmé,culpabilite,fuzzy_levenshtein_or_sequence,0.6,2,0.6
glace,2,2,4,3,blâme,mepris,fuzzy_levenshtein_or_sequence,0.6,2,0.6
glace,2,2,4,4,blasé,degout,fuzzy_levenshtein_or_sequence,0.6,2,0.6
génia,2,2,4,1,gémir,tristesse,fuzzy_levenshtein_or_sequence,0.6,2,0.6
harry,2,2,4,1,haïr,ressentiment,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
harry,2,2,4,2,hardi,audace,fuzzy_levenshtein_or_sequence,0.6,2,0.6
hassan,2,2,4,1,lassant,comportement,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
haut,2,2,4,1,faute,culpabilite,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
hillary,2,2,4,1,hilare,joie,fuzzy_levenshtein_or_sequence,0.7692,2,0.7692
horribles,2,2,4,1,horrible,peur,lexicon_prefix_of_marker,0.8889,1,0.9412
humiliations,2,2,4,1,humiliation,embarras,lexicon_prefix_of_marker,0.9167,1,0.9565
héros,2,2,4,1,éros,amour,fuzzy_levenshtein_or_sequence,0.8889,1,0.8889
héros,2,2,4,2,repos,apaisement,fuzzy_levenshtein_or_sequence,0.6,2,0.6
idée,2,2,4,1,risée,mepris,fuzzy_levenshtein_or_sequence,0.6667,2,0.6667
inquiété,2,2,4,1,inquiéter,peur,marker_prefix_of_lexicon_term,0.8889,1,0.9412
inquiété,2,2,4,2,inquiétude,peur,fuzzy_levenshtein_or_sequence,0.8889,2,0.8889
inquiété,2,2,4,3,inquiet,peur,lexicon_prefix_of_marker,0.875,1,0.9333
inquiété,2,2,4,4,quiet,apaisement,lexicon_substring_of_marker,0.625,3,0.7692
intérieur,2,2,4,1,paix intérieure,apaisement,marker_substring_of_lexicon_term,0.6,6,0.75
intérieur,2,2,4,2,rieur,joie,lexicon_substring_of_marker,0.5556,4,0.7143
jalouse,2,2,4,1,jalousie,jalousie,fuzzy_levenshtein_or_sequence,0.9333,1,0.9333
