marker_value,marker_type,Admiration,Colère,Culpabilité,Dégoût,Embarras,Fierté,Jalousie,Joie,Peur,Surprise,Tristesse,total_count,P(Colère),P(Dégoût),P(Joie),P(Peur),P(Surprise),P(Tristesse),P(Admiration),P(Culpabilité),P(Embarras),P(Fierté),P(Jalousie),entropy,normalized_entropy
devoirs,word,0,1,0,0,0,0,0,1,1,0,0,3,0.33,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
guerres,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
danseur,word,0,0,0,0,0,0,0,1,1,0,1,3,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
seraient,word,0,1,0,0,0,0,0,0,1,1,0,3,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
senti,word,0,0,0,0,0,0,0,0,1,1,1,3,0.00,0.00,0.00,0.33,0.33,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
horribles,word,0,0,0,1,0,0,0,0,1,0,1,3,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
réussite,word,0,0,0,0,0,1,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,1.58,0.46
danseurs,word,1,0,0,0,0,1,0,1,0,0,0,3,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,1.58,0.46
stage,word,0,0,0,0,0,0,0,1,1,0,1,3,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
histoire,word,0,0,0,0,0,1,0,1,0,1,0,3,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
habits,word,0,1,0,0,0,0,0,1,0,0,1,3,0.33,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
sortir,word,0,1,0,1,0,0,0,0,1,0,0,3,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
insultent,word,0,1,0,0,1,0,0,0,0,0,1,3,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
cris,word,0,1,0,0,0,0,0,0,1,1,0,3,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
pire,word,0,1,0,0,1,0,0,0,1,0,0,3,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.33,0.00,0.00,1.58,0.46
impressionnante,word,1,0,0,0,0,0,0,0,1,1,0,3,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,1.58,0.46
coupe,word,0,0,0,0,0,0,0,1,1,0,1,3,0.00,0.00,0.33,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
impressionner,word,1,0,0,0,0,1,0,0,0,1,0,3,0.00,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.33,0.00,1.58,0.46
plaint,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
couleurs,word,0,0,0,0,0,1,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,1.58,0.46
coeur,word,0,0,0,0,0,0,0,1,0,1,1,3,0.00,0.00,0.33,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
peut-être,word,0,0,1,0,0,0,0,0,1,0,1,3,0.00,0.00,0.00,0.33,0.00,0.33,0.00,0.33,0.00,0.00,0.00,1.58,0.46
pensé,word,0,0,0,1,0,0,0,0,0,1,1,3,0.00,0.33,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
courir,word,0,1,0,0,0,0,0,0,1,0,1,3,0.33,0.00,0.00,0.33,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.58,0.46
course,word,0,0,0,0,0,1,0,1,1,0,0,3,0.00,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
cour,word,0,0,0,1,0,1,0,1,0,0,0,3,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,1.58,0.46
corps,word,0,0,0,1,1,0,0,0,0,0,1,3,0.00,0.33,0.00,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,1.58,0.46
insiste,word,0,1,0,0,0,0,0,1,1,0,0,3,0.33,0.00,0.33,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,0.46
j'aimerais,word,0,0,0,0,0,1,0,1,0,0,1,3,0.00,0.00,0.33,0.00,0.00,0.33,0.00,0.00,0.00,0.33,0.00,1.58,0.46
cher,word,0,6,0,0,0,1,0,0,2,0,1,10,0.60,0.00,0.00,0.20,0.00,0.10,0.00,0.00,0.00,0.10,0.00,1.57,0.45
agressées,word,0,2,0,0,0,0,0,0,3,0,3,8,0.25,0.00,0.00,0.38,0.00,0.38,0.00,0.00,0.00,0.00,0.00,1.56,0.45
gros,word,0,11,0,13,0,0,0,3,0,1,0,28,0.39,0.46,0.11,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,1.56,0.45
coups,word,0,3,0,0,0,0,0,0,5,0,4,12,0.25,0.00,0.00,0.42,0.00,0.33,0.00,0.00,0.00,0.00,0.00,1.55,0.45
perdu,word,0,1,0,0,0,0,0,1,3,0,7,12,0.08,0.00,0.08,0.25,0.00,0.58,0.00,0.00,0.00,0.00,0.00,1.55,0.45
d'un,word,0,5,0,0,0,0,0,1,1,1,0,8,0.62,0.00,0.12,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,1.55,0.45
douée,word,2,0,0,0,0,3,0,4,0,0,0,9,0.00,0.00,0.44,0.00,0.00,0.00,0.22,0.00,0.00,0.33,0.00,1.53,0.44
victime,word,0,1,0,0,4,0,0,0,12,0,18,35,0.03,0.00,0.00,0.34,0.00,0.51,0.00,0.00,0.11,0.00,0.00,1.53,0.44
tuer,word,0,6,0,0,0,0,0,0,4,0,3,13,0.46,0.00,0.00,0.31,0.00,0.23,0.00,0.00,0.00,0.00,0.00,1.53,0.44
empêcher,word,0,0,0,0,0,0,0,2,2,0,1,5,0.00,0.00,0.40,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.52,0.44
records,word,0,0,0,0,0,2,0,2,0,1,0,5,0.00,0.00,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.40,0.00,1.52,0.44
émerveillée,word,2,0,0,0,0,0,0,2,0,1,0,5,0.00,0.00,0.40,0.00,0.20,0.00,0.40,0.00,0.00,0.00,0.00,1.52,0.44
impose,word,0,2,0,0,0,0,0,0,2,0,1,5,0.40,0.00,0.00,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.52,0.44
jouer,word,0,2,0,0,0,1,0,0,0,0,2,5,0.40,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.00,1.52,0.44
mot,word,0,0,0,0,0,1,0,2,0,0,2,5,0.00,0.00,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.20,0.00,1.52,0.44
feu,word,0,2,0,0,0,1,0,0,2,0,0,5,0.40,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.52,0.44
parents,word,0,1,0,0,0,0,0,2,2,0,0,5,0.20,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.44
noir,word,0,2,0,0,0,0,0,0,2,1,0,5,0.40,0.00,0.00,0.40,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.52,0.44
chien,word,0,2,0,2,0,0,0,0,0,0,1,5,0.40,0.40,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.52,0.44
langue,word,0,2,0,0,0,0,0,2,0,0,1,5,0.40,0.00,0.40,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.52,0.44
génial,word,2,0,0,0,0,1,0,10,0,3,0,16,0.00,0.00,0.62,0.00,0.19,0.00,0.12,0.00,0.00,0.06,0.00,1.50,0.43
battu,word,0,0,0,0,0,1,0,2,0,1,0,4,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.25,0.00,1.50,0.43
loin,word,0,2,0,0,0,0,0,0,1,1,0,4,0.50,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
l'air,word,0,1,0,0,0,0,0,2,0,1,0,4,0.25,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
cause,word,0,1,0,0,0,0,0,2,1,0,0,4,0.25,0.00,0.50,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
choc,word,0,1,0,0,0,0,0,0,1,2,0,4,0.25,0.00,0.00,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
morts,word,0,3,0,0,0,0,0,0,3,0,6,12,0.25,0.00,0.00,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,0.43
mots,word,1,0,0,0,0,0,0,2,0,1,0,4,0.00,0.00,0.50,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,1.50,0.43
vivent,word,0,0,0,0,0,0,0,1,1,0,2,4,0.00,0.00,0.25,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,0.43
vécue,word,0,1,0,0,1,0,0,0,0,0,2,4,0.25,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.25,0.00,0.00,1.50,0.43
aurait,word,0,2,0,0,0,0,0,0,1,1,0,4,0.50,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
noire,word,0,0,0,0,0,1,0,2,0,0,1,4,0.00,0.00,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,1.50,0.43
condamné,word,0,2,0,0,0,0,0,0,1,0,1,4,0.50,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
conditions,word,0,2,0,0,0,0,0,0,1,0,1,4,0.50,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
pauvreté,word,0,1,0,0,0,0,0,0,2,0,1,4,0.25,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
juive,word,0,2,0,0,0,0,0,0,1,0,1,4,0.50,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
jours,word,0,1,0,0,0,0,0,2,0,0,1,4,0.25,0.00,0.50,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
lève,word,0,2,0,0,0,0,0,1,0,0,1,4,0.50,0.00,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
soleil,word,0,1,0,0,0,0,0,1,0,0,2,4,0.25,0.00,0.25,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,0.43
graves,word,0,4,0,0,0,0,0,0,2,0,2,8,0.50,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
impressionné,word,2,0,0,0,0,0,0,0,1,1,0,4,0.00,0.00,0.00,0.25,0.25,0.00,0.50,0.00,0.00,0.00,0.00,1.50,0.43
petits,word,0,0,0,0,0,0,0,2,1,0,1,4,0.00,0.00,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
crie,word,0,2,0,0,0,0,0,1,1,0,0,4,0.50,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
soeur,word,1,1,0,0,0,0,0,2,0,0,0,4,0.25,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,1.50,0.43
important,word,1,0,0,0,0,2,0,1,0,0,0,4,0.00,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.50,0.00,1.50,0.43
surtout,word,1,2,0,0,0,0,0,0,0,1,0,4,0.50,0.00,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00,1.50,0.43
cru,word,0,2,0,0,0,0,0,0,0,1,1,4,0.50,0.00,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
crise,word,0,1,0,0,0,0,0,0,2,0,1,4,0.25,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
sent,word,0,0,0,0,0,0,0,2,1,0,1,4,0.00,0.00,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
espionner,word,0,2,0,0,0,0,0,0,1,1,0,4,0.50,0.00,0.00,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
facile,word,0,0,0,0,1,0,0,1,0,0,2,4,0.00,0.00,0.25,0.00,0.00,0.50,0.00,0.00,0.25,0.00,0.00,1.50,0.43
quelle,word,1,1,0,0,0,0,0,2,0,0,0,4,0.25,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,1.50,0.43
devenir,word,0,0,0,0,0,0,0,2,1,0,1,4,0.00,0.00,0.50,0.25,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
gagnent,word,0,1,0,0,0,1,0,2,0,0,0,4,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,1.50,0.43
faudrait,word,0,1,0,0,0,0,0,0,1,0,2,4,0.25,0.00,0.00,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,0.43
folle,word,0,1,0,0,0,0,0,2,0,1,0,4,0.25,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
bonbons,word,1,0,0,0,0,0,0,1,0,2,0,4,0.00,0.00,0.25,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,1.50,0.43
rejetés,word,0,1,0,0,0,0,0,0,1,0,2,4,0.25,0.00,0.00,0.25,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.50,0.43
effondrée,word,0,0,0,0,0,0,0,0,2,1,1,4,0.00,0.00,0.00,0.50,0.25,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
regard,word,0,1,0,0,1,0,0,0,0,0,2,4,0.25,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.25,0.00,0.00,1.50,0.43
billes,word,0,0,0,0,0,1,0,1,0,0,2,4,0.00,0.00,0.25,0.00,0.00,0.50,0.00,0.00,0.00,0.25,0.00,1.50,0.43
blessés,word,0,1,0,0,0,0,0,0,2,0,1,4,0.25,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
agressés,word,0,1,0,0,0,0,0,0,2,0,1,4,0.25,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.50,0.43
ailleurs,word,0,2,0,1,0,0,0,0,0,1,0,4,0.50,0.25,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,1.50,0.43
choquantes,word,0,4,0,0,0,0,0,0,3,7,0,14,0.29,0.00,0.00,0.21,0.50,0.00,0.00,0.00,0.00,0.00,0.00,1.49,0.43
problèmes,word,0,5,0,0,0,0,0,0,2,0,3,10,0.50,0.00,0.00,0.20,0.00,0.30,0.00,0.00,0.00,0.00,0.00,1.49,0.43
super,word,3,0,0,0,0,0,0,5,0,2,0,10,0.00,0.00,0.50,0.00,0.20,0.00,0.30,0.00,0.00,0.00,0.00,1.49,0.43
oh,word,0,0,0,0,0,0,0,6,1,10,1,18,0.00,0.00,0.33,0.06,0.56,0.06,0.00,0.00,0.00,0.00,0.00,1.46,0.42
croit,word,0,3,0,0,0,0,0,2,0,1,0,6,0.50,0.00,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,1.46,0.42
prendre,word,0,3,0,0,0,0,0,0,2,0,1,6,0.50,0.00,0.00,0.33,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.46,0.42
mauvaise,word,0,2,0,0,0,0,0,0,1,0,3,6,0.33,0.00,0.00,0.17,0.00,0.50,0.00,0.00,0.00,0.00,0.00,1.46,0.42
champion,word,2,0,0,0,0,3,0,1,0,0,0,6,0.00,0.00,0.17,0.00,0.00,0.00,0.33,0.00,0.00,0.50,0.00,1.46,0.42
agressions,word,0,0,0,0,2,0,0,0,3,0,1,6,0.00,0.00,0.00,0.50,0.00,0.17,0.00,0.00,0.33,0.00,0.00,1.46,0.42
catastrophe,word,0,0,0,0,0,0,0,0,3,1,2,6,0.00,0.00,0.00,0.50,0.17,0.33,0.00,0.00,0.00,0.00,0.00,1.46,0.42
mettre,word,0,3,0,0,0,0,0,1,3,0,0,7,0.43,0.00,0.14,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.42
maison,word,0,0,0,0,0,0,0,0,3,1,3,7,0.00,0.00,0.00,0.43,0.14,0.43,0.00,0.00,0.00,0.00,0.00,1.45,0.42
ferme,word,0,6,0,1,0,0,0,0,1,1,0,9,0.67,0.11,0.00,0.11,0.11,0.00,0.00,0.00,0.00,0.00,0.00,1.45,0.42
violences,word,0,4,0,0,0,0,0,0,10,0,4,18,0.22,0.00,0.00,0.56,0.00,0.22,0.00,0.00,0.00,0.00,0.00,1.44,0.41
contre,word,0,10,0,0,1,0,0,0,2,0,2,15,0.67,0.00,0.00,0.13,0.00,0.13,0.00,0.00,0.07,0.00,0.00,1.43,0.41
pris,word,0,0,0,1,0,0,0,0,4,2,0,7,0.00,0.14,0.00,0.57,0.29,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.40
cool,word,4,1,0,0,0,0,0,0,0,2,0,7,0.14,0.00,0.00,0.00,0.29,0.00,0.57,0.00,0.00,0.00,0.00,1.38,0.40
sexuelles,word,0,0,0,0,1,0,0,0,3,0,1,5,0.00,0.00,0.00,0.60,0.00,0.20,0.00,0.00,0.20,0.00,0.00,1.37,0.40
pd,word,0,3,0,1,1,0,0,0,0,0,0,5,0.60,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.37,0.40
maltraités,word,0,0,0,0,0,0,0,0,1,1,3,5,0.00,0.00,0.00,0.20,0.20,0.60,0.00,0.00,0.00,0.00,0.00,1.37,0.40
danseuse,word,1,0,0,0,0,1,0,3,0,0,0,5,0.00,0.00,0.60,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,1.37,0.40
s'est,word,0,0,0,1,1,0,0,3,0,0,0,5,0.00,0.20,0.60,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.37,0.40
pollution,word,0,1,0,0,0,0,0,0,3,0,1,5,0.20,0.00,0.00,0.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.37,0.40
problème,word,0,3,0,0,0,0,0,0,1,0,1,5,0.60,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.37,0.40
rage,word,0,1,0,0,0,0,0,0,3,0,1,5,0.20,0.00,0.00,0.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.37,0.40
moquer,word,0,0,0,1,3,0,0,0,1,0,0,5,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.60,0.00,0.00,1.37,0.40
embête,word,0,1,0,0,1,0,0,0,0,0,3,5,0.20,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.20,0.00,0.00,1.37,0.40
quitté,word,0,1,0,0,0,0,0,0,3,0,1,5,0.20,0.00,0.00,0.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.37,0.40
trouvé,word,0,0,0,0,0,1,0,3,1,0,0,5,0.00,0.00,0.60,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,1.37,0.40
»,punctuation,0,1,0,0,1,0,0,0,3,0,0,5,0.20,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.37,0.40
bravo,word,1,1,0,0,0,3,0,0,0,0,0,5,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.60,0.00,1.37,0.40
«,punctuation,0,1,0,0,1,0,0,0,3,0,0,5,0.20,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.37,0.40
chassés,word,0,1,0,0,0,0,0,0,3,0,1,5,0.20,0.00,0.00,0.60,0.00,0.20,0.00,0.00,0.00,0.00,0.00,1.37,0.40
tués,word,0,1,0,0,0,0,0,0,5,0,4,10,0.10,0.00,0.00,0.50,0.00,0.40,0.00,0.00,0.00,0.00,0.00,1.36,0.39
drôle,word,0,2,0,0,0,0,0,16,0,23,1,42,0.05,0.00,0.38,0.00,0.55,0.02,0.00,0.00,0.00,0.00,0.00,1.34,0.39
meilleur,word,1,0,0,0,0,6,0,5,0,0,0,12,0.00,0.00,0.42,0.00,0.00,0.00,0.08,0.00,0.00,0.50,0.00,1.33,0.38
merci,word,0,1,0,0,0,4,0,6,0,0,0,11,0.09,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.00,1.32,0.38
pleuré,word,0,0,0,0,0,0,0,1,4,0,6,11,0.00,0.00,0.09,0.36,0.00,0.55,0.00,0.00,0.00,0.00,0.00,1.32,0.38
idée,word,0,2,0,0,0,0,0,7,0,0,2,11,0.18,0.00,0.64,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,1.31,0.38
qu'on,word,0,5,0,0,0,0,0,1,0,0,2,8,0.62,0.00,0.12,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.30,0.38
meurent,word,0,1,0,0,0,0,0,0,5,0,2,8,0.12,0.00,0.00,0.62,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.30,0.38
jusqu,word,2,0,0,0,0,0,0,1,0,5,0,8,0.00,0.00,0.12,0.00,0.62,0.00,0.25,0.00,0.00,0.00,0.00,1.30,0.38
persécutés,word,0,1,0,0,0,0,0,0,5,0,2,8,0.12,0.00,0.00,0.62,0.00,0.25,0.00,0.00,0.00,0.00,0.00,1.30,0.38
t'es,word,0,5,0,2,0,0,0,0,0,0,1,8,0.62,0.25,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,1.30,0.38
gens,word,0,6,0,1,0,0,0,0,0,0,3,10,0.60,0.10,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,1.30,0.37
terroristes,word,0,3,0,0,0,0,0,0,6,0,1,10,0.30,0.00,0.00,0.60,0.00,0.10,0.00,0.00,0.00,0.00,0.00,1.30,0.37
attentats,word,0,2,0,0,0,0,0,0,9,0,3,14,0.14,0.00,0.00,0.64,0.00,0.21,0.00,0.00,0.00,0.00,0.00,1.29,0.37
violence,word,0,4,0,0,0,0,0,0,7,0,1,12,0.33,0.00,0.00,0.58,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.28,0.37
terrible,word,0,0,0,0,1,0,0,0,6,0,8,15,0.00,0.00,0.00,0.40,0.00,0.53,0.00,0.00,0.07,0.00,0.00,1.27,0.37
dictature,word,0,1,0,0,0,0,0,0,4,0,1,6,0.17,0.00,0.00,0.67,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
attaques,word,0,1,0,0,0,0,0,0,4,0,1,6,0.17,0.00,0.00,0.67,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
famille,word,0,1,0,0,0,0,0,4,0,0,1,6,0.17,0.00,0.67,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
arrêté,word,0,4,0,0,0,0,0,0,1,0,1,6,0.67,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
dur,word,0,2,0,0,2,0,0,0,0,0,8,12,0.17,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.17,0.00,0.00,1.25,0.36
détruire,word,0,1,0,0,0,0,0,0,4,0,1,6,0.17,0.00,0.00,0.67,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
punir,word,0,4,0,0,0,0,0,0,1,0,1,6,0.67,0.00,0.00,0.17,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
amour,word,0,0,0,1,0,0,0,4,0,1,0,6,0.00,0.17,0.67,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,1.25,0.36
conséquences,word,0,1,0,0,0,0,0,0,4,0,1,6,0.17,0.00,0.00,0.67,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
trouver,word,0,0,0,0,1,0,0,0,4,0,1,6,0.00,0.00,0.00,0.67,0.00,0.17,0.00,0.00,0.17,0.00,0.00,1.25,0.36
violentes,word,0,1,0,0,0,0,0,0,4,0,1,6,0.17,0.00,0.00,0.67,0.00,0.17,0.00,0.00,0.00,0.00,0.00,1.25,0.36
beau,word,3,0,0,0,0,2,0,10,0,0,0,15,0.00,0.00,0.67,0.00,0.00,0.00,0.20,0.00,0.00,0.13,0.00,1.24,0.36
attaqué,word,0,8,0,0,0,0,0,0,4,0,1,13,0.62,0.00,0.00,0.31,0.00,0.08,0.00,0.00,0.00,0.00,0.00,1.24,0.36
pourquoi,word,0,6,0,0,0,0,0,0,0,1,2,9,0.67,0.00,0.00,0.00,0.11,0.22,0.00,0.00,0.00,0.00,0.00,1.22,0.35
porc,word,0,2,0,6,0,0,0,0,0,1,0,9,0.22,0.67,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,1.22,0.35
guerre,word,0,8,0,0,0,0,0,0,24,0,4,36,0.22,0.00,0.00,0.67,0.00,0.11,0.00,0.00,0.00,0.00,0.00,1.22,0.35
grosse,word,0,10,0,5,0,1,0,0,0,0,0,16,0.62,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.20,0.35
gagné,word,1,0,0,0,0,8,0,14,0,0,0,23,0.00,0.00,0.61,0.00,0.00,0.00,0.04,0.00,0.00,0.35,0.00,1.16,0.34
…,punctuation,1,8,0,0,24,0,1,2,6,228,16,286,0.03,0.00,0.01,0.02,0.80,0.06,0.00,0.00,0.08,0.00,0.00,1.16,0.34
d'accord,word,0,7,0,0,0,0,0,2,1,0,0,10,0.70,0.00,0.20,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.16,0.33
julien,word,0,5,0,1,0,0,0,1,0,0,0,7,0.71,0.14,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,0.33
suffit,word,0,5,0,0,0,0,0,1,0,0,1,7,0.71,0.00,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.15,0.33
arme,word,0,1,0,0,0,1,0,0,5,0,0,7,0.14,0.00,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.15,0.33
rue,word,0,5,0,0,0,0,0,1,0,0,1,7,0.71,0.00,0.14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.15,0.33
merveilleux,word,5,0,0,0,0,0,0,1,0,1,0,7,0.00,0.00,0.14,0.00,0.14,0.00,0.71,0.00,0.00,0.00,0.00,1.15,0.33
mariage,word,0,0,0,0,0,0,0,5,0,1,1,7,0.00,0.00,0.71,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,1.15,0.33
ca,word,0,5,0,1,0,0,0,0,0,0,1,7,0.71,0.14,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.15,0.33
