backend,surface_lower,lemma,surface_lemma_count,dominant_mode,surface_count,surface_dominant_emotion,surface_entropy,surface_normalized_entropy,lemma_count,lemma_dominant_emotion,lemma_entropy,lemma_normalized_entropy,delta_entropy,dominant_emotion_changed,surface_share_in_lemma,granularity_class,review_priority
stanza,suivie,suivre,4,Suggérée,4,Admiration,2.0,1.0,5,Admiration,2.3219,1.0,0.3219,False,0.8,lemma_dilutes_surface,high
stanza,quitté,quitter,5,Comportementale,5,Peur,1.371,0.865,18,Peur,1.0529,0.6643,-0.3181,False,0.2778,lemma_reveals_family,high
stanza,mettre,mettre,7,Comportementale,7,Colère,1.4488,0.9141,18,Colère,1.7652,0.8826,0.3164,False,0.3889,lemma_dilutes_surface,high
stanza,tués,tuer,8,Suggérée,8,Peur,1.4056,0.8869,34,Colère,1.7178,0.8589,0.3122,True,0.2353,lemma_dilutes_surface,high
spacy,guerres,guerre,3,Suggérée,3,Colère,1.585,1.0,37,Peur,1.273,0.8032,-0.312,True,0.0811,lemma_reveals_family,high
stanza,guerres,guerre,3,Suggérée,3,Colère,1.585,1.0,37,Peur,1.273,0.8032,-0.312,True,0.0811,lemma_reveals_family,high
spacy,gagnera,gagner,4,Comportementale,4,Fierté,1.0,1.0,31,Joie,1.3054,0.6527,0.3054,True,0.129,lemma_dilutes_surface,high
spacy,bon,bon,25,Suggérée,25,Joie,2.0317,0.7237,43,Joie,1.7293,0.616,-0.3024,False,0.5814,lemma_reveals_family,high
stanza,bon,bon,25,Suggérée,25,Joie,2.0317,0.7237,43,Joie,1.7293,0.616,-0.3024,False,0.5814,lemma_reveals_family,high
stanza,menacé,menacer,10,Désignée,10,Peur,0.7219,0.7219,47,Peur,0.4199,0.4199,-0.302,False,0.2128,lemma_reveals_family,high
stanza,insulté,insulter,6,Désignée,6,Embarras,0.9183,0.9183,22,Embarras,1.2197,0.7696,0.3014,False,0.2727,lemma_dilutes_surface,high
spacy,inquiets,inquiet,14,Désignée,14,Peur,-0.0,0.0,56,Peur,0.3014,0.3014,0.3014,False,0.25,lemma_dilutes_surface,high
spacy,inquiet,inquiet,6,Désignée,6,Peur,-0.0,0.0,56,Peur,0.3014,0.3014,0.3014,False,0.1071,lemma_dilutes_surface,high
stanza,meilleure,meilleur,5,Suggérée,5,Joie,0.971,0.971,16,Fierté,1.2718,0.8024,0.3008,True,0.3125,lemma_dilutes_surface,high
spacy,meilleure,meilleur,5,Suggérée,5,Joie,0.971,0.971,16,Fierté,1.2718,0.8024,0.3008,True,0.3125,lemma_dilutes_surface,high
stanza,insulter,insulter,11,Comportementale,11,Colère,0.9457,0.9457,22,Embarras,1.2197,0.7696,0.274,True,0.5,lemma_dilutes_surface,high
stanza,victimes,victime,16,Suggérée,16,Colère,1.5613,0.9851,36,Tristesse,1.8071,0.9035,0.2458,True,0.4444,lemma_dilutes_surface,high
spacy,victimes,victime,16,Suggérée,16,Colère,1.5613,0.9851,36,Tristesse,1.8071,0.9035,0.2458,True,0.4444,lemma_dilutes_surface,high
spacy,tué,tuer,12,Suggérée,13,Colère,1.8262,0.9131,30,Peur,1.7311,0.8656,-0.0951,True,0.4,dominant_emotion_shift,high
stanza,faut,falloir,11,Montrée,11,Joie,2.0404,0.8787,17,Colère,2.1334,0.9188,0.093,True,0.6471,dominant_emotion_shift,high
spacy,faut,falloir,11,Montrée,11,Joie,2.0404,0.8787,17,Colère,2.1334,0.9188,0.093,True,0.6471,dominant_emotion_shift,high
stanza,attaqué,attaquer,11,Comportementale,11,Colère,1.2407,0.7828,24,Peur,1.1964,0.7549,-0.0443,True,0.4583,dominant_emotion_shift,high
spacy,attaqué,attaquer,11,Comportementale,11,Colère,1.2407,0.7828,24,Peur,1.1964,0.7549,-0.0443,True,0.4583,dominant_emotion_shift,high
stanza,impressionnant,impressionnant,11,Désignée,11,Surprise,1.6172,0.8086,21,Admiration,1.58,0.79,-0.0372,True,0.5238,dominant_emotion_shift,high
stanza,gros,gros,28,Montrée,28,Dégoût,1.5604,0.7802,46,Colère,1.5328,0.6602,-0.0276,True,0.6087,dominant_emotion_shift,high
spacy,gros,gros,28,Montrée,28,Dégoût,1.5604,0.7802,44,Colère,1.5492,0.6672,-0.0112,True,0.6364,dominant_emotion_shift,high
spacy,terrible,terrible,15,Désignée,15,Tristesse,1.2729,0.8031,17,Peur,1.2639,0.7975,-0.009,True,0.8824,dominant_emotion_shift,high
stanza,terrible,terrible,15,Désignée,15,Tristesse,1.2729,0.8031,17,Peur,1.2639,0.7975,-0.009,True,0.8824,dominant_emotion_shift,high
spacy,record,record,16,Suggérée,16,Admiration,1.9772,0.9886,21,Fierté,1.9814,0.9907,0.0042,True,0.7619,dominant_emotion_shift,high
stanza,record,record,16,Suggérée,16,Admiration,1.9772,0.9886,21,Fierté,1.9814,0.9907,0.0042,True,0.7619,dominant_emotion_shift,high
stanza,accusait,accuser,4,Comportementale,4,Colère,-0.0,0.0,90,Colère,0.2984,0.1882,0.2984,False,0.0444,lemma_dilutes_surface,low
stanza,accuser,accuser,3,Comportementale,3,Colère,-0.0,0.0,90,Colère,0.2984,0.1882,0.2984,False,0.0333,lemma_dilutes_surface,low
stanza,accusant,accuser,4,Comportementale,4,Colère,-0.0,0.0,90,Colère,0.2984,0.1882,0.2984,False,0.0444,lemma_dilutes_surface,low
stanza,horribles,horrible,3,Désignée,3,Dégoût,1.585,1.0,15,Peur,1.2867,0.8118,-0.2983,True,0.2,lemma_reveals_family,low
spacy,horribles,horrible,3,Désignée,3,Dégoût,1.585,1.0,15,Peur,1.2867,0.8118,-0.2983,True,0.2,lemma_reveals_family,low
spacy,accusant,accuser,4,Comportementale,4,Colère,-0.0,0.0,69,Colère,0.2979,0.188,0.2979,False,0.058,lemma_dilutes_surface,low
spacy,accuser,accuser,3,Comportementale,3,Colère,-0.0,0.0,69,Colère,0.2979,0.188,0.2979,False,0.0435,lemma_dilutes_surface,low
spacy,accusait,accuser,4,Comportementale,4,Colère,-0.0,0.0,69,Colère,0.2979,0.188,0.2979,False,0.058,lemma_dilutes_surface,low
stanza,petits,petit,4,Suggérée,4,Joie,1.5,0.9464,16,Joie,1.7947,0.773,0.2947,False,0.25,lemma_dilutes_surface,low
spacy,petits,petit,4,Suggérée,4,Joie,1.5,0.9464,16,Joie,1.7947,0.773,0.2947,False,0.25,lemma_dilutes_surface,low
spacy,souffrent,souffrir,3,Désignée,3,Tristesse,-0.0,0.0,20,Tristesse,0.2864,0.2864,0.2864,False,0.15,lemma_dilutes_surface,low
stanza,souffrent,souffrir,3,Désignée,3,Tristesse,-0.0,0.0,20,Tristesse,0.2864,0.2864,0.2864,False,0.15,lemma_dilutes_surface,low
spacy,rues,rue,4,Comportementale,4,Colère,0.8113,0.8113,11,Colère,1.0958,0.6914,0.2845,False,0.3636,lemma_dilutes_surface,low
stanza,rues,rue,4,Comportementale,4,Colère,0.8113,0.8113,11,Colère,1.0958,0.6914,0.2845,False,0.3636,lemma_dilutes_surface,low
spacy,menaçant,menacer,4,Désignée,4,Peur,0.8113,0.8113,67,Peur,0.5276,0.5276,-0.2837,False,0.0597,lemma_reveals_family,low
stanza,gagnera,gagner,4,Comportementale,4,Fierté,1.0,1.0,37,Joie,1.2759,0.6379,0.2759,True,0.1081,lemma_dilutes_surface,low
stanza,rejetés,rejeter,4,Suggérée,4,Tristesse,1.5,0.9464,9,Tristesse,1.2244,0.7725,-0.2756,False,0.4444,lemma_reveals_family,low
stanza,frappé,frapper,3,Suggérée,3,Peur,0.9183,0.9183,6,Peur,0.65,0.65,-0.2683,False,0.5,lemma_reveals_family,low
stanza,opposent,opposer,4,Comportementale,4,Colère,0.8113,0.8113,8,Colère,0.5436,0.5436,-0.2677,False,0.5,lemma_reveals_family,low
spacy,juive,juif,4,Montrée,4,Colère,1.5,0.9464,8,Colère,1.75,0.875,0.25,False,0.5,lemma_dilutes_surface,low
stanza,quittent,quitter,4,Comportementale,4,Peur,0.8113,0.8113,18,Peur,1.0529,0.6643,0.2416,False,0.2222,lemma_dilutes_surface,low
spacy,respecté,respecter,3,Suggérée,3,Admiration,0.9183,0.9183,10,Colère,1.1568,0.7298,0.2385,True,0.3,lemma_dilutes_surface,low
stanza,respecté,respecter,3,Suggérée,3,Admiration,0.9183,0.9183,10,Colère,1.1568,0.7298,0.2385,True,0.3,lemma_dilutes_surface,low
stanza,effondrés,effondrer,3,Suggérée,3,Peur,0.9183,0.9183,10,Peur,1.1568,0.7298,0.2385,False,0.3,lemma_dilutes_surface,low
spacy,champion,champion,4,Suggérée,4,Fierté,1.5,0.9464,16,Fierté,1.2718,0.8024,-0.2282,False,0.25,lemma_reveals_family,low
stanza,proteste,protester,4,Comportementale,4,Colère,0.8113,0.8113,33,Colère,0.5836,0.2918,-0.2277,False,0.1212,lemma_reveals_family,low
stanza,gagnent,gagner,4,Suggérée,4,Joie,1.5,0.9464,37,Joie,1.2759,0.6379,-0.2241,False,0.1081,lemma_reveals_family,low
spacy,réduites,réduire,2,Suggérée,3,Colère,1.585,1.0,5,Tristesse,1.371,0.865,-0.214,True,0.4,lemma_reveals_family,low
stanza,tête,tête,4,Comportementale,4,Colère,2.0,1.0,6,Peur,1.7925,0.8962,-0.2075,True,0.6667,lemma_reveals_family,low
spacy,tête,tête,4,Comportementale,4,Colère,2.0,1.0,6,Peur,1.7925,0.8962,-0.2075,True,0.6667,lemma_reveals_family,low
stanza,seul,seul,4,Suggérée,4,Colère,2.0,1.0,6,Tristesse,1.7925,0.8962,-0.2075,True,0.6667,lemma_reveals_family,low
spacy,seul,seul,4,Suggérée,4,Colère,2.0,1.0,6,Tristesse,1.7925,0.8962,-0.2075,True,0.6667,lemma_reveals_family,low
stanza,ose,oser,4,Suggérée,4,Embarras,1.5,0.9464,8,Embarras,1.2988,0.8194,-0.2012,False,0.5,lemma_reveals_family,low
spacy,rejetés,rejeter,4,Suggérée,4,Tristesse,1.5,0.9464,8,Tristesse,1.2988,0.8194,-0.2012,False,0.5,lemma_reveals_family,low
stanza,nouveau,nouveau,3,Suggérée,3,Joie,0.9183,0.9183,5,Joie,0.7219,0.7219,-0.1964,False,0.6,lemma_reveals_family,low
spacy,angoissé,angoisser,3,Désignée,3,Peur,0.9183,0.9183,5,Peur,0.7219,0.7219,-0.1964,False,0.6,lemma_reveals_family,low
stanza,mobilisent,mobiliser,3,Comportementale,3,Colère,0.9183,0.9183,5,Colère,0.7219,0.7219,-0.1964,False,0.6,lemma_reveals_family,low
spacy,gagnent,gagner,4,Suggérée,4,Joie,1.5,0.9464,31,Joie,1.3054,0.6527,-0.1946,False,0.129,lemma_reveals_family,low
stanza,voler,voler,3,Suggérée,3,Colère,1.585,1.0,8,Colère,1.75,0.875,0.165,False,0.375,lemma_dilutes_surface,low
stanza,quelle,quel,4,Montrée,4,Joie,1.5,0.9464,7,Joie,1.6645,0.8322,0.1645,False,0.5714,lemma_dilutes_surface,low
spacy,opposent,opposer,4,Comportementale,4,Colère,0.8113,0.8113,6,Colère,0.65,0.65,-0.1613,False,0.6667,lemma_reveals_family,low
spacy,manger,manger,4,Suggérée,4,Colère,2.0,1.0,7,Tristesse,1.8424,0.9212,-0.1576,True,0.5714,lemma_reveals_family,low
stanza,manger,manger,4,Suggérée,4,Colère,2.0,1.0,7,Tristesse,1.8424,0.9212,-0.1576,True,0.5714,lemma_reveals_family,low
stanza,exceptionnel,exceptionnel,4,Désignée,4,Admiration,1.0,1.0,10,Surprise,1.1568,0.7298,0.1568,True,0.4,lemma_dilutes_surface,low
spacy,danser,danser,3,Comportementale,3,Joie,0.9183,0.9183,8,Joie,1.0613,0.6696,0.143,False,0.375,lemma_dilutes_surface,low
spacy,impressionnante,impressionnant,3,Désignée,3,Admiration,1.585,1.0,7,Admiration,1.4488,0.9141,-0.1362,False,0.4286,lemma_reveals_family,low
stanza,réveille,réveiller,2,Comportementale,3,Colère,1.585,1.0,6,Colère,1.4591,0.9206,-0.1259,False,0.3333,lemma_reveals_family,low
stanza,réduites,réduire,3,Suggérée,3,Colère,1.585,1.0,6,Tristesse,1.4591,0.9206,-0.1259,True,0.5,lemma_reveals_family,low
stanza,euros,euro,3,Suggérée,3,Joie,0.9183,0.9183,4,Joie,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,décourage,décourager,3,Désignée,3,Tristesse,0.9183,0.9183,4,Tristesse,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,préoccupations,préoccupation,3,Désignée,3,Tristesse,0.9183,0.9183,4,Tristesse,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,ronds,rond,3,Comportementale,3,Colère,0.9183,0.9183,4,Colère,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,désolée,désolé,3,Montrée,3,Embarras,0.9183,0.9183,4,Embarras,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,préoccupations,préoccupation,3,Désignée,3,Tristesse,0.9183,0.9183,4,Tristesse,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,état,état,3,Suggérée,3,Colère,0.9183,0.9183,4,Colère,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,aide,aider,1,Suggérée,3,Peur,0.9183,0.9183,4,Joie,0.8113,0.8113,-0.107,True,0.25,lemma_reveals_family,low
stanza,arabe,arabe,3,Montrée,3,Dégoût,0.9183,0.9183,4,Dégoût,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,droit,droit,3,Suggérée,3,Colère,0.9183,0.9183,4,Colère,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,paniqué,paniquer,3,Désignée,3,Peur,0.9183,0.9183,4,Peur,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
stanza,amis,ami,4,Suggérée,4,Joie,0.8113,0.8113,6,Joie,0.9183,0.9183,0.107,False,0.6667,lemma_dilutes_surface,low
stanza,angoissé,angoisser,3,Désignée,3,Peur,0.9183,0.9183,4,Peur,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,mobilisent,mobiliser,3,Comportementale,3,Colère,0.9183,0.9183,4,Colère,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,quel,quel,3,Montrée,3,Joie,0.9183,0.9183,4,Joie,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,euros,euro,3,Suggérée,3,Joie,0.9183,0.9183,4,Joie,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,droit,droit,3,Suggérée,3,Colère,0.9183,0.9183,4,Colère,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,arabe,arabe,3,Montrée,3,Dégoût,0.9183,0.9183,4,Dégoût,0.8113,0.8113,-0.107,False,0.75,lemma_reveals_family,low
spacy,amis,ami,4,Suggérée,4,Joie,0.8113,0.8113,6,Joie,0.9183,0.9183,0.107,False,0.6667,lemma_dilutes_surface,low
stanza,passer,passer,5,Suggérée,5,Joie,1.9219,0.961,14,Peur,2.0202,0.8701,0.0983,True,0.3571,dominant_emotion_shift,low
spacy,passer,passer,5,Suggérée,5,Joie,1.9219,0.961,14,Peur,2.0202,0.8701,0.0983,True,0.3571,dominant_emotion_shift,low
stanza,champion,champion,4,Suggérée,4,Fierté,1.5,0.9464,8,Fierté,1.4056,0.8869,-0.0944,False,0.5,specificity_preserved,low
spacy,attentats,attentat,11,Suggérée,11,Peur,1.0958,0.6914,12,Peur,1.1887,0.75,0.0929,False,0.9167,specificity_preserved,low
stanza,attentats,attentat,11,Suggérée,11,Peur,1.0958,0.6914,12,Peur,1.1887,0.75,0.0929,False,0.9167,specificity_preserved,low
spacy,cauchemar,cauchemar,4,Désignée,4,Peur,0.8113,0.8113,5,Peur,0.7219,0.7219,-0.0894,False,0.8,specificity_preserved,low
stanza,cauchemar,cauchemar,4,Désignée,4,Peur,0.8113,0.8113,5,Peur,0.7219,0.7219,-0.0894,False,0.8,specificity_preserved,low
stanza,meilleur,meilleur,10,Suggérée,10,Fierté,1.361,0.8587,16,Fierté,1.2718,0.8024,-0.0892,False,0.625,specificity_preserved,low
spacy,meilleur,meilleur,10,Suggérée,10,Fierté,1.361,0.8587,16,Fierté,1.2718,0.8024,-0.0892,False,0.625,specificity_preserved,low
spacy,con,con,7,Montrée,7,Colère,0.5917,0.5917,9,Colère,0.5033,0.5033,-0.0884,False,0.7778,specificity_preserved,low
stanza,réfugier,réfugier,7,Comportementale,7,Peur,0.5917,0.5917,9,Peur,0.5033,0.5033,-0.0884,False,0.7778,specificity_preserved,low
stanza,détruire,détruire,5,Suggérée,5,Peur,1.371,0.865,12,Peur,1.4591,0.9206,0.0881,False,0.4167,specificity_preserved,low
spacy,sexuelles,sexuel,5,Suggérée,5,Peur,1.371,0.865,6,Peur,1.4591,0.9206,0.0881,False,0.8333,specificity_preserved,low
stanza,sexuelles,sexuel,5,Suggérée,5,Peur,1.371,0.865,6,Peur,1.4591,0.9206,0.0881,False,0.8333,specificity_preserved,low
stanza,gagné,gagner,20,Suggérée,20,Joie,1.1884,0.7498,37,Joie,1.2759,0.6379,0.0875,False,0.5405,specificity_preserved,low
stanza,insulte,insulte,9,Comportementale,9,Colère,0.9911,0.9911,25,Embarras,1.0783,0.6803,0.0872,True,0.36,dominant_emotion_shift,low
stanza,vrai,vrai,5,Suggérée,5,Admiration,2.3219,1.0,7,Fierté,2.2359,0.963,-0.086,True,0.7143,dominant_emotion_shift,low
stanza,soupire,soupirer,7,Comportementale,7,Tristesse,1.6645,0.8322,8,Tristesse,1.75,0.875,0.0855,False,0.875,specificity_preserved,low
stanza,menaces,menace,7,Désignée,7,Peur,0.5917,0.5917,28,Peur,0.6769,0.6769,0.0852,False,0.25,specificity_preserved,low
spacy,sortir,sortir,3,Suggérée,3,Colère,1.585,1.0,4,Colère,1.5,0.9464,-0.085,False,0.75,specificity_preserved,low
spacy,quelle,quell,3,Montrée,4,Joie,1.5,0.9464,3,Admiration,1.585,1.0,0.085,True,1.0,dominant_emotion_shift,low
spacy,cris,cri,3,Comportementale,3,Colère,1.585,1.0,4,Peur,1.5,0.9464,-0.085,True,0.75,dominant_emotion_shift,low
spacy,stage,stage,3,Suggérée,3,Joie,1.585,1.0,4,Joie,1.5,0.9464,-0.085,False,0.75,specificity_preserved,low
spacy,crie,crie,3,Comportementale,4,Colère,1.5,0.9464,3,Colère,1.585,1.0,0.085,False,1.0,specificity_preserved,low
spacy,arme,arme,3,Suggérée,3,Colère,1.585,1.0,4,Peur,1.5,0.9464,-0.085,True,0.75,dominant_emotion_shift,low
stanza,stage,stage,3,Suggérée,3,Joie,1.585,1.0,4,Joie,1.5,0.9464,-0.085,False,0.75,specificity_preserved,low
stanza,sortir,sortir,3,Suggérée,3,Colère,1.585,1.0,8,Colère,1.5,0.9464,-0.085,False,0.375,specificity_preserved,low
spacy,excellent,excellent,3,Montrée,3,Admiration,1.585,1.0,4,Admiration,1.5,0.9464,-0.085,False,0.75,specificity_preserved,low
spacy,pauvreté,pauvreter,3,Suggérée,4,Peur,1.5,0.9464,3,Colère,1.585,1.0,0.085,True,1.0,dominant_emotion_shift,low
stanza,arme,arme,3,Suggérée,3,Colère,1.585,1.0,4,Peur,1.5,0.9464,-0.085,True,0.75,dominant_emotion_shift,low
stanza,agressés,agresser,4,Suggérée,4,Peur,1.5,0.9464,12,Colère,1.585,1.0,0.085,True,0.3333,dominant_emotion_shift,low
stanza,excellent,excellent,3,Montrée,3,Admiration,1.585,1.0,4,Admiration,1.5,0.9464,-0.085,False,0.75,specificity_preserved,low
stanza,cris,cri,3,Comportementale,3,Colère,1.585,1.0,4,Peur,1.5,0.9464,-0.085,True,0.75,dominant_emotion_shift,low
stanza,jolies,joli,3,Suggérée,3,Colère,1.585,1.0,4,Joie,1.5,0.9464,-0.085,True,0.75,dominant_emotion_shift,low
stanza,menacer,menacer,9,Désignée,9,Peur,0.5033,0.5033,47,Peur,0.4199,0.4199,-0.0834,False,0.1915,specificity_preserved,low
spacy,exceptionnel,exceptionnel,4,Désignée,4,Admiration,1.0,1.0,6,Surprise,0.9183,0.9183,-0.0817,True,0.6667,dominant_emotion_shift,low
spacy,frustrant,frustrer,4,Désignée,4,Colère,1.0,1.0,6,Tristesse,0.9183,0.9183,-0.0817,True,0.6667,dominant_emotion_shift,low
stanza,avouait,avouer,3,Suggérée,3,Culpabilité,0.9183,0.9183,4,Culpabilité,1.0,1.0,0.0817,False,0.75,specificity_preserved,low
spacy,avouait,avouer,3,Suggérée,3,Culpabilité,0.9183,0.9183,4,Culpabilité,1.0,1.0,0.0817,False,0.75,specificity_preserved,low
spacy,cher,cher,10,Suggérée,10,Colère,1.571,0.7855,11,Colère,1.4911,0.7456,-0.0799,False,0.9091,specificity_preserved,low
stanza,cher,cher,10,Suggérée,10,Colère,1.571,0.7855,11,Colère,1.4911,0.7456,-0.0799,False,0.9091,specificity_preserved,low
spacy,sais,sai,4,Montrée,5,Colère,1.9219,0.961,4,Colère,2.0,1.0,0.0781,False,1.0,specificity_preserved,low
stanza,idée,idée,11,Suggérée,11,Joie,1.3093,0.8261,12,Joie,1.3844,0.8735,0.0751,False,0.9167,specificity_preserved,low
spacy,chose,chose,10,Suggérée,10,Colère,2.0464,0.8814,11,Colère,1.9717,0.8492,-0.0747,False,0.9091,specificity_preserved,low
stanza,chose,chose,10,Suggérée,10,Colère,2.0464,0.8814,11,Colère,1.9717,0.8492,-0.0747,False,0.9091,specificity_preserved,low
stanza,danser,danser,3,Comportementale,3,Joie,0.9183,0.9183,13,Joie,0.9913,0.6254,0.073,False,0.2308,specificity_preserved,low
spacy,violente,violent,3,Suggérée,3,Peur,0.9183,0.9183,13,Peur,0.9913,0.6254,0.073,False,0.2308,specificity_preserved,low
spacy,plaint,plaindre,3,Comportementale,3,Colère,1.585,1.0,9,Colère,1.6577,0.8289,0.0727,False,0.3333,specificity_preserved,low
stanza,plaint,plaindre,3,Comportementale,3,Colère,1.585,1.0,9,Colère,1.6577,0.8289,0.0727,False,0.3333,specificity_preserved,low
stanza,maltraités,maltraiter,5,Suggérée,5,Tristesse,1.371,0.865,8,Tristesse,1.2988,0.8194,-0.0722,False,0.625,specificity_preserved,low
spacy,échapper,échapper,5,Comportementale,5,Peur,0.7219,0.7219,6,Peur,0.65,0.65,-0.0719,False,0.8333,specificity_preserved,low
spacy,descendus,descendre,4,Comportementale,4,Colère,0.8113,0.8113,10,Colère,0.8813,0.8813,0.07,False,0.4,specificity_preserved,low
stanza,descendus,descendre,4,Comportementale,4,Colère,0.8113,0.8113,10,Colère,0.8813,0.8813,0.07,False,0.4,specificity_preserved,low
spacy,choqué,choquer,30,Désignée,30,Surprise,1.7283,0.8641,50,Surprise,1.6617,0.8309,-0.0666,False,0.6,specificity_preserved,low
spacy,grand,grand,10,Suggérée,10,Joie,2.4464,0.9464,25,Joie,2.5125,0.895,0.0661,False,0.4,specificity_preserved,low
stanza,grand,grand,10,Suggérée,10,Joie,2.4464,0.9464,25,Joie,2.5125,0.895,0.0661,False,0.4,specificity_preserved,low
stanza,demande,demander,7,Suggérée,7,Colère,1.9502,0.9751,13,Colère,1.8843,0.9422,-0.0659,False,0.5385,specificity_preserved,low
spacy,chassés,chasser,5,Suggérée,5,Peur,1.371,0.865,9,Peur,1.4355,0.9057,0.0645,False,0.5556,specificity_preserved,low
spacy,réveille,réveiller,1,Comportementale,3,Colère,1.585,1.0,5,Colère,1.5219,0.9602,-0.0631,False,0.2,specificity_preserved,low
spacy,émerveillée,émerveiller,5,Désignée,5,Admiration,1.5219,0.9602,6,Admiration,1.4591,0.9206,-0.0628,False,0.8333,specificity_preserved,low
spacy,croit,croit,5,Suggérée,6,Colère,1.4591,0.9206,5,Colère,1.5219,0.9602,0.0628,False,1.0,specificity_preserved,low
spacy,agressés,agresser,4,Suggérée,4,Peur,1.5,0.9464,8,Colère,1.5613,0.9851,0.0613,True,0.5,dominant_emotion_shift,low
stanza,guerre,guerre,34,Suggérée,34,Peur,1.2141,0.766,37,Peur,1.273,0.8032,0.0589,False,0.9189,specificity_preserved,low
spacy,guerre,guerre,34,Suggérée,34,Peur,1.2141,0.766,37,Peur,1.273,0.8032,0.0589,False,0.9189,specificity_preserved,low
spacy,peine,peine,8,Suggérée,8,Colère,1.8113,0.9056,9,Tristesse,1.7527,0.8764,-0.0586,True,0.8889,dominant_emotion_shift,low
stanza,peine,peine,8,Suggérée,8,Colère,1.8113,0.9056,9,Tristesse,1.7527,0.8764,-0.0586,True,0.8889,dominant_emotion_shift,low
spacy,violences,violence,15,Suggérée,15,Peur,1.4566,0.919,27,Peur,1.3992,0.8828,-0.0574,False,0.5556,specificity_preserved,low
stanza,violences,violence,15,Suggérée,15,Peur,1.4566,0.919,27,Peur,1.3992,0.8828,-0.0574,False,0.5556,specificity_preserved,low
spacy,agressées,agressé,4,Suggérée,7,Tristesse,1.5567,0.9821,4,Peur,1.5,0.9464,-0.0567,True,1.0,dominant_emotion_shift,low
stanza,crasseuse,crasseux,4,Montrée,7,Dégoût,0.8631,0.8631,6,Dégoût,0.9183,0.9183,0.0552,False,0.6667,specificity_preserved,low
spacy,effondrés,effondrer,2,Suggérée,3,Peur,0.9183,0.9183,7,Peur,0.8631,0.8631,-0.0552,False,0.2857,specificity_preserved,low
stanza,crasseuse,crasseuse,3,Montrée,7,Dégoût,0.8631,0.8631,3,Dégoût,0.9183,0.9183,0.0552,False,1.0,specificity_preserved,low
stanza,plaît,plaire,3,Suggérée,3,Colère,0.9183,0.9183,7,Joie,0.8631,0.8631,-0.0552,True,0.4286,dominant_emotion_shift,low
spacy,crasseuse,crasseux,1,Montrée,7,Dégoût,0.8631,0.8631,3,Dégoût,0.9183,0.9183,0.0552,False,0.3333,specificity_preserved,low
spacy,crasseuse,crasseuse,6,Montrée,7,Dégoût,0.8631,0.8631,6,Dégoût,0.9183,0.9183,0.0552,False,1.0,specificity_preserved,low
stanza,perdu,perdre,12,Suggérée,12,Tristesse,1.5511,0.7755,17,Tristesse,1.4969,0.7485,-0.0542,False,0.7059,specificity_preserved,low
spacy,morts,mourir,1,Suggérée,8,Tristesse,1.2988,0.8194,19,Peur,1.2448,0.7854,-0.054,True,0.0526,dominant_emotion_shift,low
stanza,morts,mourir,1,Suggérée,8,Tristesse,1.2988,0.8194,19,Peur,1.2448,0.7854,-0.054,True,0.0526,dominant_emotion_shift,low
spacy,rue,rue,7,Comportementale,7,Colère,1.1488,0.7248,11,Colère,1.0958,0.6914,-0.053,False,0.6364,specificity_preserved,low
stanza,rue,rue,7,Comportementale,7,Colère,1.1488,0.7248,11,Colère,1.0958,0.6914,-0.053,False,0.6364,specificity_preserved,low
stanza,famine,famine,5,Suggérée,5,Peur,0.971,0.971,6,Peur,0.9183,0.9183,-0.0527,False,0.8333,specificity_preserved,low
spacy,plaît,plaire,3,Suggérée,3,Colère,0.9183,0.9183,5,Joie,0.971,0.971,0.0527,True,0.6,dominant_emotion_shift,low
spacy,excuse,excuse,2,Désignée,3,Embarras,0.9183,0.9183,5,Culpabilité,0.971,0.971,0.0527,True,0.4,dominant_emotion_shift,low
stanza,puissante,puissant,2,Suggérée,3,Peur,0.9183,0.9183,5,Peur,0.971,0.971,0.0527,False,0.4,specificity_preserved,low
spacy,catastrophes,catastrophe,3,Suggérée,3,Peur,0.9183,0.9183,5,Peur,0.971,0.971,0.0527,False,0.6,specificity_preserved,low
spacy,excuses,excuse,3,Suggérée,3,Culpabilité,0.9183,0.9183,5,Culpabilité,0.971,0.971,0.0527,False,0.6,specificity_preserved,low
stanza,puissants,puissant,3,Suggérée,3,Peur,0.9183,0.9183,5,Peur,0.971,0.971,0.0527,False,0.6,specificity_preserved,low
